TimeSeries ID,instance/network/sent_bytes_count.gce_instance.ALIGN_RATE.REDUCE_NONE.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/network/sent_bytes_count" AND group.id="5922043254987674606".instance_id:2707071259330273137.project_id:qwiklabs-gcp-04-d8b8b08e1b8a.zone:us-central1-f.instance_name:nginxstack-3.loadbalanced:false,instance/network/sent_bytes_count.gce_instance.ALIGN_RATE.REDUCE_NONE.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/network/sent_bytes_count" AND group.id="5922043254987674606".instance_id:4265296367960514417.project_id:qwiklabs-gcp-04-d8b8b08e1b8a.zone:us-central1-f.instance_name:nginxstack-2.loadbalanced:false,instance/network/sent_bytes_count.gce_instance.ALIGN_RATE.REDUCE_NONE.resource.type="gce_instance" AND metric.type="compute.googleapis.com/instance/network/sent_bytes_count" AND group.id="5922043254987674606".instance_id:9217120070831759217.project_id:qwiklabs-gcp-04-d8b8b08e1b8a.zone:us-central1-f.instance_name:nginxstack-1.loadbalanced:false
loadbalanced,false,false,false
instance_name,nginxstack-3,nginxstack-2,nginxstack-1
instance_id,2707071259330273137,4265296367960514417,9217120070831759217
zone,us-central1-f,us-central1-f,us-central1-f
project_id,qwiklabs-gcp-04-d8b8b08e1b8a,qwiklabs-gcp-04-d8b8b08e1b8a,qwiklabs-gcp-04-d8b8b08e1b8a
Sun Jul 02 2023 16:11:00 GMT+0300 (Eastern European Summer Time),34.65,35.13333333333333,40.8
Sun Jul 02 2023 16:12:00 GMT+0300 (Eastern European Summer Time),14.65,14.166666666666666,14.2
Sun Jul 02 2023 16:13:00 GMT+0300 (Eastern European Summer Time),6.933333333333334,6.933333333333334,6.933333333333334
Sun Jul 02 2023 16:14:00 GMT+0300 (Eastern European Summer Time),6.933333333333334,7.416666666666667,6.933333333333334
Sun Jul 02 2023 16:15:00 GMT+0300 (Eastern European Summer Time),34.65,34.56666666666667,34.233333333333334
Sun Jul 02 2023 16:16:00 GMT+0300 (Eastern European Summer Time),14.65,13.983333333333333,14.2
Sun Jul 02 2023 16:17:00 GMT+0300 (Eastern European Summer Time),6.933333333333334,6.933333333333334,6.933333333333334
Sun Jul 02 2023 16:18:00 GMT+0300 (Eastern European Summer Time),6.933333333333334,7.466666666666667,7.45
Sun Jul 02 2023 16:19:00 GMT+0300 (Eastern European Summer Time),34.65,35.266666666666666,35.516666666666666
Sun Jul 02 2023 16:20:00 GMT+0300 (Eastern European Summer Time),15.183333333333334,14.166666666666666,14.5
Sun Jul 02 2023 16:21:00 GMT+0300 (Eastern European Summer Time),7.55,6.933333333333334,6.933333333333334
Sun Jul 02 2023 16:22:00 GMT+0300 (Eastern European Summer Time),7.05,6.933333333333334,6.933333333333334
Sun Jul 02 2023 16:23:00 GMT+0300 (Eastern European Summer Time),35.85,35.81666666666667,34.233333333333334
Sun Jul 02 2023 16:24:00 GMT+0300 (Eastern European Summer Time),14.983333333333333,14.35,14.2
Sun Jul 02 2023 16:25:00 GMT+0300 (Eastern European Summer Time),6.933333333333334,6.933333333333334,6.933333333333334
