insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,textPayload,timestamp
64a95c7b0006f7934f829c37,001bdd422e07c922d6751a3c3271be79ab4b0a4437d347521993c71637691472840a165781ae87599d9d996b148e0739aea6a07c42de044bec1c8f9ddad24829acda,projects/qwiklabs-gcp-03-57d7ece16060/logs/run.googleapis.com%2Fstdout,,2023-07-08T12:54:19.462712775Z,billing-service,europe-west1,qwiklabs-gcp-03-57d7ece16060,billing-service-00001-yox,billing-service,cloud_run_revision,minBalance: 500,2023-07-08T12:54:19.456595Z
64a95bed0002a1511109c272,001bdd422e07c922d6751a3c3271be79ab4b0a4437d347521993c71637691472840a165781ae87599d9d996b148e0739aea6a07c42de044bec1c8f9ddad24829acda,projects/qwiklabs-gcp-03-57d7ece16060/logs/run.googleapis.com%2Fstdout,,2023-07-08T12:51:57.503463914Z,billing-service,europe-west1,qwiklabs-gcp-03-57d7ece16060,billing-service-00001-yox,billing-service,cloud_run_revision,minBalance: 100,2023-07-08T12:51:57.172369Z
64a95b6c00043f37234be013,001bdd422e3ff3454646a29e4f8009639f2cab0d03274240783c697be3fb9ab3e6109d0bc0ff17f8f58fc92d5bed84aaa0e36d7858f5ed1800c77283c0c8940fe148,projects/qwiklabs-gcp-03-57d7ece16060/logs/run.googleapis.com%2Fstdout,,2023-07-08T12:49:48.281157315Z,billing-service,europe-west1,qwiklabs-gcp-03-57d7ece16060,billing-service-00001-nog,billing-service,cloud_run_revision,minBalance: 100,2023-07-08T12:49:48.278327Z
